date,day,type,index_future,index_option,stock_future,stock_option
2017-03-09,Thursday,weekly,False,True,False,False
2017-03-16,Thursday,weekly,False,True,False,False
2017-03-23,Thursday,weekly,False,True,False,False
2017-03-30,Thursday,monthly,True,True,True,True
2017-04-06,Thursday,weekly,False,True,False,False
2017-04-13,Thursday,weekly,False,True,False,False
2017-04-20,Thursday,weekly,False,True,False,False
2017-04-27,Thursday,monthly,True,True,True,True
2017-05-04,Thursday,weekly,False,True,False,False
2017-05-11,Thursday,weekly,False,True,False,False
2017-05-18,Thursday,weekly,False,True,False,False
2017-05-25,Thursday,monthly,True,True,True,True
2017-06-01,Thursday,weekly,False,True,False,False
2017-06-08,Thursday,weekly,False,True,False,False
2017-06-15,Thursday,weekly,False,True,False,False
2017-06-22,Thursday,weekly,False,True,False,False
2017-06-29,Thursday,monthly,True,True,True,True
2017-07-06,Thursday,weekly,False,True,False,False
2017-07-13,Thursday,weekly,False,True,False,False
2017-07-20,Thursday,weekly,False,True,False,False
2017-07-27,Thursday,monthly,True,True,True,True
2017-08-03,Thursday,weekly,False,True,False,False
2017-08-10,Thursday,weekly,False,True,False,False
2017-08-17,Thursday,weekly,False,True,False,False
2017-08-24,Thursday,weekly,False,True,False,False
2017-08-31,Thursday,monthly,True,True,True,True
2017-09-07,Thursday,weekly,False,True,False,False
2017-09-14,Thursday,weekly,False,True,False,False
2017-09-21,Thursday,weekly,False,True,False,False
2017-09-28,Thursday,monthly,True,True,True,True
2017-10-05,Thursday,weekly,False,True,False,False
2017-10-12,Thursday,weekly,False,True,False,False
2017-10-18,Wednesday,weekly,False,True,False,False
2017-10-26,Thursday,monthly,True,True,True,True
2017-11-02,Thursday,weekly,False,True,False,False
2017-11-09,Thursday,weekly,False,True,False,False
2017-11-16,Thursday,weekly,False,True,False,False
2017-11-23,Thursday,weekly,False,True,False,False
2017-11-30,Thursday,monthly,True,True,True,True
2017-12-07,Thursday,weekly,False,True,False,False
2017-12-14,Thursday,weekly,False,True,False,False
2017-12-21,Thursday,weekly,False,True,False,False
2017-12-28,Thursday,monthly,True,True,True,True
2018-01-04,Thursday,weekly,False,True,False,False
2018-01-11,Thursday,weekly,False,True,False,False
2018-01-18,Thursday,weekly,False,True,False,False
2018-01-25,Thursday,monthly,True,True,True,True
2018-02-01,Thursday,weekly,False,True,False,False
2018-02-08,Thursday,weekly,False,True,False,False
2018-02-15,Thursday,weekly,False,True,False,False
2018-02-22,Thursday,monthly,True,True,True,True
2018-03-01,Thursday,weekly,False,True,False,False
2018-03-08,Thursday,weekly,False,True,False,False
2018-03-15,Thursday,weekly,False,True,False,False
2018-03-22,Thursday,weekly,False,True,False,False
2018-03-28,Wednesday,monthly,True,True,True,True
2018-04-05,Thursday,weekly,False,True,False,False
2018-04-12,Thursday,weekly,False,True,False,False
2018-04-19,Thursday,weekly,False,True,False,False
2018-04-26,Thursday,monthly,True,True,True,True
2018-05-03,Thursday,weekly,False,True,False,False
2018-05-10,Thursday,weekly,False,True,False,False
2018-05-17,Thursday,weekly,False,True,False,False
2018-05-24,Thursday,weekly,False,True,False,False
2018-05-31,Thursday,monthly,True,True,True,True
2018-06-07,Thursday,weekly,False,True,False,False
2018-06-14,Thursday,weekly,False,True,False,False
2018-06-21,Thursday,weekly,False,True,False,False
2018-06-28,Thursday,monthly,True,True,True,True
2018-07-05,Thursday,weekly,False,True,False,False
2018-07-12,Thursday,weekly,False,True,False,False
2018-07-19,Thursday,weekly,False,True,False,False
2018-07-26,Thursday,monthly,True,True,True,True
2018-08-02,Thursday,weekly,False,True,False,False
2018-08-09,Thursday,weekly,False,True,False,False
2018-08-16,Thursday,weekly,False,True,False,False
2018-08-23,Thursday,weekly,False,True,False,False
2018-08-30,Thursday,monthly,True,True,True,True
2018-09-06,Thursday,weekly,False,True,False,False
2018-09-12,Wednesday,weekly,False,True,False,False
2018-09-19,Wednesday,weekly,False,True,False,False
2018-09-27,Thursday,monthly,True,True,True,True
2018-10-04,Thursday,weekly,False,True,False,False
2018-10-11,Thursday,weekly,False,True,False,False
2018-10-17,Wednesday,weekly,False,True,False,False
2018-10-25,Thursday,monthly,True,True,True,True
2018-11-01,Thursday,weekly,False,True,False,False
2018-11-06,Tuesday,weekly,False,True,False,False
2018-11-15,Thursday,weekly,False,True,False,False
2018-11-22,Thursday,weekly,False,True,False,False
2018-11-29,Thursday,monthly,True,True,True,True
2018-12-06,Thursday,weekly,False,True,False,False
2018-12-13,Thursday,weekly,False,True,False,False
2018-12-20,Thursday,weekly,False,True,False,False
2018-12-27,Thursday,monthly,True,True,True,True
2019-01-03,Thursday,weekly,False,True,False,False
2019-01-10,Thursday,weekly,False,True,False,False
2019-01-17,Thursday,weekly,False,True,False,False
2019-01-24,Thursday,weekly,False,True,False,False
2019-01-31,Thursday,monthly,True,True,True,True
2019-02-07,Thursday,weekly,False,True,False,False
2019-02-14,Thursday,weekly,False,True,False,False
2019-02-21,Thursday,weekly,False,True,False,False
2019-02-28,Thursday,monthly,True,True,True,True
2019-03-07,Thursday,weekly,False,True,False,False
2019-03-14,Thursday,weekly,False,True,False,False
2019-03-20,Wednesday,weekly,False,True,False,False
2019-03-28,Thursday,monthly,True,True,True,True
2019-04-04,Thursday,weekly,False,True,False,False
2019-04-11,Thursday,weekly,False,True,False,False
2019-04-18,Thursday,weekly,False,True,False,False
2019-04-25,Thursday,monthly,True,True,True,True
2019-05-02,Thursday,weekly,False,True,False,False
2019-05-09,Thursday,weekly,False,True,False,False
2019-05-16,Thursday,weekly,False,True,False,False
2019-05-23,Thursday,weekly,False,True,False,False
2019-05-30,Thursday,monthly,True,True,True,True
2019-06-06,Thursday,weekly,False,True,False,False
2019-06-13,Thursday,weekly,False,True,False,False
2019-06-20,Thursday,weekly,False,True,False,False
2019-06-27,Thursday,monthly,True,True,True,True
2019-07-04,Thursday,weekly,False,True,False,False
2019-07-11,Thursday,weekly,False,True,False,False
2019-07-18,Thursday,weekly,False,True,False,False
2019-07-25,Thursday,monthly,True,True,True,True
2019-08-01,Thursday,weekly,False,True,False,False
2019-08-08,Thursday,weekly,False,True,False,False
2019-08-14,Wednesday,weekly,False,True,False,False
2019-08-22,Thursday,weekly,False,True,False,False
2019-08-29,Thursday,monthly,True,True,True,True
2019-09-05,Thursday,weekly,False,True,False,False
2019-09-12,Thursday,weekly,False,True,False,False
2019-09-19,Thursday,weekly,False,True,False,False
2019-09-26,Thursday,monthly,True,True,True,True
